file,handle,title,reading,background,background_hex,ink_hex,typeface,typeface_family,orientation,variant_skus
PRV-02-SHU-FDET.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,朱,#b03a2e,#f7f2e7,筆文字,Yuji Syuku,縦書き,PRV-02-SHU-S-FDET PRV-02-SHU-M-FDET PRV-02-SHU-L-FDET
PRV-02-SHU-FDEY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,朱,#b03a2e,#f7f2e7,筆文字,Yuji Syuku,横書き,PRV-02-SHU-S-FDEY PRV-02-SHU-M-FDEY PRV-02-SHU-L-FDEY
PRV-02-SHU-GOTT.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,朱,#b03a2e,#f7f2e7,極太ゴシック,Dela Gothic One,縦書き,PRV-02-SHU-S-GOTT PRV-02-SHU-M-GOTT PRV-02-SHU-L-GOTT
PRV-02-SHU-GOTY.png,chiri-mo-tsumoreba,塵も積もれば山となる,ちりもつもればやまとなる,朱,#b03a2e,#f7f2e7,極太ゴシック,Dela Gothic One,横書き,PRV-02-SHU-S-GOTY PRV-02-SHU-M-GOTY PRV-02-SHU-L-GOTY
PRV-03-KNR-MINT.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,縦書き,PRV-03-KNR-S-MINT PRV-03-KNR-M-MINT PRV-03-KNR-L-MINT
PRV-03-KNR-MINY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,横書き,PRV-03-KNR-S-MINY PRV-03-KNR-M-MINY PRV-03-KNR-L-MINY
PRV-03-KNR-FDET.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,生成り,#f2ece0,#2a2724,筆文字,Yuji Syuku,縦書き,PRV-03-KNR-S-FDET PRV-03-KNR-M-FDET PRV-03-KNR-L-FDET
PRV-03-KNR-FDEY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,生成り,#f2ece0,#2a2724,筆文字,Yuji Syuku,横書き,PRV-03-KNR-S-FDEY PRV-03-KNR-M-FDEY PRV-03-KNR-L-FDEY
PRV-03-KNR-GOTT.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,生成り,#f2ece0,#2a2724,極太ゴシック,Dela Gothic One,縦書き,PRV-03-KNR-S-GOTT PRV-03-KNR-M-GOTT PRV-03-KNR-L-GOTT
PRV-03-KNR-GOTY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,生成り,#f2ece0,#2a2724,極太ゴシック,Dela Gothic One,横書き,PRV-03-KNR-S-GOTY PRV-03-KNR-M-GOTY PRV-03-KNR-L-GOTY
